CampaignID	Sample	Latitude	Longitude	Date	Time	Location	Status	Site	Depth	Observer	Successful	Gear	Destination	CruiseStartDate	CruiseEndDate	Camera.Model	Boat.Name	MaxSeaFile	DataFile	Camera	timein	timeout	comments	WPt.OpNum	GEOID	OPDate_Time
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS01	-36.0526	175.3665	2006-10-26	06:46:00	1			64			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	34	1899-12-30T06:46:00Z	1899-12-30T07:16:00Z	NA	1	WGS84	2006-10-26T06:46:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS02	-36.0535	175.3666	2006-10-26	06:58:00	1			62			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	12	1899-12-30T06:58:00Z	1899-12-30T07:28:00Z	re-do	2	WGS84	2006-10-26T06:58:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS03	-36.0176	175.4346	2006-10-26	07:55:00	2			75			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	12	1899-12-30T07:55:00Z	1899-12-30T08:25:00Z	dodgy	3	WGS84	2006-10-26T07:54:59Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS04	-36.0173	175.4309	2006-10-26	08:03:00	2			70			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	34	1899-12-30T08:03:00Z	1899-12-30T08:33:00Z	fell over	4	WGS84	2006-10-26T08:03:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS05	-36.0144	175.4985	2006-10-26	09:13:00	3			103			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	34	1899-12-30T09:13:00Z	1899-12-30T09:43:00Z	on arse	5	WGS84	2006-10-26T09:13:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS06	-36.0137	175.5039	2006-10-26	09:25:00	3			104			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	12	1899-12-30T09:25:00Z	1899-12-30T09:55:00Z	focus	6	WGS84	2006-10-26T09:24:59Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS07	-36.0048	175.5287	2006-10-26	10:15:00	4			104			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	12	1899-12-30T10:15:00Z	1899-12-30T10:45:00Z	NA	7	WGS84	2006-10-26T10:15:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS08	-36.0059	175.5281	2006-10-26	10:25:00	4			101			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	34	1899-12-30T10:25:00Z	1899-12-30T10:55:00Z	NA	8	WGS84	2006-10-26T10:25:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS09	-36.0281	175.5166	2006-10-26	11:23:00	5			105			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	34	1899-12-30T11:23:00Z	1899-12-30T11:53:00Z	NA	9	WGS84	2006-10-26T11:23:00Z
2006-10_Great.Barrier.Island.Marine.Reserve_stereoBRUVs	GBISBRUVS10	-36.0277	175.5183	2006-10-26	11:30:00	5			107			SBRUVS	Great Barrier Island	2006-10-26T00:00:00Z	2006-10-27T00:00:00Z	HC 15	Ocean Ranger	NA	NA	12	1899-12-30T11:30:00Z	1899-12-30T12:00:00Z	NA	10	WGS84	2006-10-26T11:29:59Z
